Time (s)	Load Cell (N)	Strain Gauge 1 (ustrain)	Strain Gauge 2 (ustrain)	Strain Gauge 3 (ustrain)
0.000	-0.008	-0.000	-0.000	-0.000	0.000
0.100	-0.054	-0.000	-0.000	-0.000	0.000
0.200	-0.106	-0.000	-0.000	-0.000	0.000
0.300	-0.130	-0.000	-0.000	-0.000	0.000
0.400	-0.136	-0.000	-0.000	-0.000	0.000
0.500	-0.139	-0.000	-0.000	-0.000	0.000
0.600	-0.118	-0.000	-0.000	-0.000	0.000
0.700	-0.140	-0.000	-0.000	-0.000	0.000
0.800	-0.141	-0.000	-0.000	-0.000	-0.136
0.900	-0.172	-0.000	-0.000	-0.000	-0.205
1.000	-0.184	-0.000	-0.000	-0.000	-0.205
1.100	-0.187	-0.000	-0.000	-0.000	-0.205
1.200	-0.195	-0.000	-0.000	-0.000	-0.275
1.300	-0.209	-0.000	-0.000	-0.000	-0.344
1.400	-0.230	-0.000	-0.000	-0.000	-0.344
1.500	-0.240	-0.000	-0.000	-0.000	-0.414
1.600	-0.259	-0.000	-0.000	-0.000	-0.414
1.700	-0.288	-0.000	-0.000	-0.000	-0.483
1.800	-0.308	-0.000	-0.000	-0.000	-0.483
1.900	-0.321	-0.000	-0.000	-0.000	-0.483
2.000	-0.341	-0.000	-0.000	-0.000	-0.622
2.100	-0.401	-0.000	-0.000	-0.000	-0.622
2.200	-0.421	-0.000	-0.000	-0.000	-0.622
2.300	-0.436	-0.000	-0.000	-0.000	-0.761
2.400	-0.454	-0.000	-0.000	-0.000	-0.761
2.500	-0.455	-0.000	-0.000	-0.000	-0.761
2.600	-0.467	-0.000	-0.000	-0.000	-0.761
2.700	-0.478	-0.000	-0.000	-0.000	-0.830
2.800	-0.493	-0.000	-0.000	-0.000	-0.830
2.900	-0.512	-0.000	-0.000	-0.000	-0.900
3.000	-0.529	-0.000	-0.000	-0.000	-0.900
3.100	-0.552	-0.000	-0.000	-0.000	-0.900
3.200	-0.578	-0.000	-0.000	-0.000	-0.969
3.300	-0.630	-0.000	-0.000	-0.000	-1.038
3.400	-0.655	-0.000	-0.000	-0.000	-1.038
3.500	-0.687	-0.000	-0.000	-0.000	-1.108
3.600	-0.752	-0.000	-0.000	-0.000	-1.108
3.700	-0.781	-0.000	-0.000	-0.000	-1.177
3.800	-0.810	-0.000	-0.000	-0.000	-1.177
3.900	-0.845	-0.000	-0.000	-0.000	-1.246
4.000	-0.911	-0.000	-0.000	-0.000	-1.246
4.100	-0.948	-0.000	-0.000	-0.000	-1.315
4.200	-1.060	-0.000	-0.000	-0.000	-1.385
4.300	-1.142	-0.000	-0.000	-0.000	-1.455
4.400	-1.182	-0.000	-0.000	-0.000	-1.455
4.500	-1.226	-0.000	-0.000	-0.000	-1.524
4.600	-1.268	-0.000	-0.000	-0.000	-1.524
4.700	-1.316	-0.000	-0.000	-0.000	-1.593
4.800	-1.410	-0.000	-0.000	-0.000	-1.593
4.900	-1.454	-0.000	-0.000	-0.000	-1.663
